event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session,data,mes
2019-11-07 08:17:55+00:00,cart,5584,1487580009362096156,,entity,0.83,336221931,46e81fa2-e102-4d3b-bc5a-5f0f18be784a,20191107,201911
2020-01-25 12:58:24+00:00,view,5813290,1842735760499802745,,kinetics,9.44,592037177,fa001661-2934-4a20-843f-32ca57f63208,20200125,202001
2020-02-27 08:24:52+00:00,cart,5723528,1487580005092295511,,runail,2.94,620938078,e91f3eab-3b6e-4c07-aaeb-bce9b589bcea,20200227,202002
2020-02-01 19:27:49+00:00,remove_from_cart,5693843,1487580009445982239,,,12.7,506487050,8e06aa39-8778-48dc-bec7-5426b0e25d45,20200201,202002
2020-01-31 14:47:31+00:00,view,5681609,1487580005511725929,,,5.56,557338862,15427fff-b0a0-4b39-b222-ee62f18b76fc,20200131,202001
2019-10-25 15:59:10+00:00,remove_from_cart,5709057,1487580005671109489,,masura,1.73,511210384,c2294134-df06-48a3-8a2f-8fb954e5814d,20191025,201910
2020-02-03 21:37:20+00:00,view,5846805,1487580013522845895,,browxenna,25.32,602003981,cd6ff4a3-9eb1-41e4-92cf-b6169b474af6,20200203,202002
2019-11-21 08:04:04+00:00,cart,5789669,1487580005595612013,,,3.16,380051186,16d43a7e-5eab-4528-acca-e6b725878018,20191121,201911
2020-01-04 07:12:19+00:00,view,5899852,2115334439910245200,,,4.46,197484335,6d719372-a585-42cb-b172-1f9af2ada5ab,20200104,202001
2020-02-15 06:16:48+00:00,remove_from_cart,5803299,1487580011383750769,,,3.81,607159787,f578d1e7-f45a-479b-847a-43da668a04c2,20200215,202002
2019-11-03 20:21:19+00:00,view,5839670,1487580005671109489,,masura,2.37,567252335,3a11c2db-5786-4bed-85fd-6c0e9b199bff,20191103,201911
2019-11-04 08:40:58+00:00,view,5802419,1487580004857414477,,lianail,5.54,445786281,b98d3ed0-2ff6-4910-b223-21d073abb306,20191104,201911
2020-02-27 12:14:41+00:00,cart,5904751,1487580007675986893,,,1.59,412422046,750d63eb-a676-499e-91d1-253e6a713097,20200227,202002
2019-11-20 18:46:24+00:00,view,5854809,1602943681873052386,,grattol,5.24,432943261,b863d763-7d55-4187-9920-4ae696295cad,20191120,201911
2020-02-25 08:15:48+00:00,view,5804667,1487580013581566154,,,5.94,507510540,08fa8f34-6e4d-4e53-8363-86ea45dbc9d1,20200225,202002
2019-12-11 11:11:44+00:00,cart,5930,2196456817641391019,,runail,1.98,582367777,49b76743-24b7-4f54-a0c4-5b82d68fcaa6,20191211,201912
2019-11-21 10:42:55+00:00,cart,5770025,1487580013841613016,,kapous,2.59,574251329,94c1236f-15aa-48b4-8753-464687c4ff3f,20191121,201911
2019-10-09 12:02:42+00:00,view,5836150,1487580008246412266,,,4.76,558214541,9fd5a17f-31d2-47a1-86d1-3f9531832527,20191009,201910
2019-11-02 10:48:20+00:00,remove_from_cart,5804667,1487580013581566154,,,5.4,510126861,0de266b4-1955-42a1-aeb6-58493cd4f1fd,20191102,201911
